<http://dbpedia.org/ontology/Automobile>,automobile automobiles
<http://dbpedia.org/ontology/BiologicalDatabase>,
<http://dbpedia.org/ontology/CollegeCoach>,defensive_coordinator coaching college_coach great_coach coach coaching_staff position_coach good_coach proven_coach head_coach college_coaches
<http://dbpedia.org/ontology/SoccerPlayer>,soccer tennis_player soccer_player hockey_player rugby_player basketball_player football_player
<http://dbpedia.org/ontology/President>,prime_minister sitting_president vice_president presidency president elected governor current_president new_president presidential_candidate senator
<http://dbpedia.org/ontology/SoccerLeague>,soccer_league
<http://dbpedia.org/ontology/AdultActor>,
<http://dbpedia.org/ontology/MotorcycleRacingLeague>,
<http://dbpedia.org/ontology/Locomotive>,locomotive
<http://dbpedia.org/ontology/VideogamesLeague>,
<http://dbpedia.org/ontology/Gnetophytes>,
<http://dbpedia.org/ontology/Cricketer>,cricketer
<http://dbpedia.org/ontology/MusicFestival>,music_fest outdoor_festival festival rave big_festival free_concert concert music_festival outdoor_concert local_festival coachella
<http://dbpedia.org/ontology/LaunchPad>,launch_site landing_pad rocket booster_stage spacecraft landing_site command_module launchpad lander launch_pad spaceplane
<http://dbpedia.org/ontology/University>,university/college uni local_college business_school university graduate_program major_university local_community_college state_university undergrad local_university
<http://dbpedia.org/ontology/BasketballLeague>,basketball_league
<http://dbpedia.org/ontology/Cycad>,
<http://dbpedia.org/ontology/Plant>,many_plants plants entire_plant soil single_plant fertilizer whole_plant other_plant original_plant other_plants plant
<http://dbpedia.org/ontology/NaturalPlace>,natural_place
<http://dbpedia.org/ontology/CricketLeague>,
<http://dbpedia.org/ontology/SportsLeague>,sports_league
<http://dbpedia.org/ontology/MeanOfTransportation>,
<http://dbpedia.org/ontology/MixedMartialArtsLeague>,
<http://dbpedia.org/ontology/BritishRoyalty>,
<http://dbpedia.org/ontology/Place>,where place location
<http://dbpedia.org/ontology/MemberOfParliament>,
<http://dbpedia.org/ontology/Lake>,creek pier lake huge_lake shoreline river dunes small_lake big_lake canyon shore
<http://dbpedia.org/ontology/Race>,only_one_race races single_race race
<http://dbpedia.org/ontology/Mayor>,mayor
<http://dbpedia.org/ontology/ChemicalSubstance>,substances chemical_substance
<http://dbpedia.org/ontology/FictionalCharacter>,fictional_characters fictional_person comic_book_character fictional_character real_person real_life_person fictional fictional_story
<http://dbpedia.org/ontology/River>,creek river_bank big_river lake shoreline river small_river downriver shore riverbed
<http://dbpedia.org/ontology/Moss>,moss wisteria mosses ferns leaves
<http://dbpedia.org/ontology/Event>,actual_event major_event other_event other_events first_event such_event specific_event event
<http://dbpedia.org/ontology/Name>,first_name full_name name _name actual_name real_name
<http://dbpedia.org/ontology/ResearchProject>,research_group research_assistant independent_study graduate_work undergraduate_research research_project research_work research_lab research_projects research_program undergrad_research
<http://dbpedia.org/ontology/Lymph>,lymphatic_system lymph lymph_nodes
<http://dbpedia.org/ontology/Work>,work- actual_work work _work
<http://dbpedia.org/ontology/Cave>,small_cave forest grotto cave_system nearby_cave cave caves cavern dark_cave catacombs caverns
<http://dbpedia.org/ontology/WrestlingEvent>,house_show wrestling_event
<http://dbpedia.org/ontology/BroadcastNetwork>,cable_network cable_channel broadcast_network
<http://dbpedia.org/ontology/SpaceStation>,space_station asteroid_belt spacecraft space_ship space_shuttle space_craft low_orbit space_stations deep_space spaceship asteroid
<http://dbpedia.org/ontology/Grape>,watermelon blueberry grape raisin strawberry melon cherries flavored grapes pomegranate grapefruit
<http://dbpedia.org/ontology/ShoppingMall>,shopping_centre train_station bus_station shopping_mall shopping_center office_building mall subway_station
<http://dbpedia.org/ontology/City>,suburb outskirts major_city huge_city downtown_area large_city little_town city small_city town whole_city
<http://dbpedia.org/ontology/Bone>,leg_bones bones bone ribs sinew cartilage marrow
<http://dbpedia.org/ontology/Song>,particular_song other_song first_song last_song second_song whole_song lyrics great_song actual_song entire_song song
<http://dbpedia.org/ontology/Award>,award academy_award awards other_awards
<http://dbpedia.org/ontology/Ship>,ship first_ship main_ship own_ship other_ship large_ship new_ship other_ships small_ship big_ship ships
<http://dbpedia.org/ontology/Judge>,judge juror defendant jury prosecutor defense_attorney magistrate court first_judge jury_trial prosecuting_attorney
<http://dbpedia.org/ontology/SpaceMission>,space_mission
<http://dbpedia.org/ontology/Drug>,most_drugs drug street_drugs dangerous_drug certain_drugs drugs other_drugs many_drugs narcotic other_drug opioids
<http://dbpedia.org/ontology/Actor>,main_actor good_actor great_actor other_actor only_actor actor/actress character_actor actor lead_role actress lead_actor
<http://dbpedia.org/ontology/Legislature>,legislation congress legislatures state_legislatures legislature legislative_body legislators state_government constitutional_amendment legislative_branch state_legislature
<http://dbpedia.org/ontology/Game>,single_player real_game other_game actual_game entire_game _game game whole_game game- regular_game particular_game
<http://dbpedia.org/ontology/Book>,actual_book few_books entire_book other_book particular_book first_book whole_book book books single_book other_books
<http://dbpedia.org/ontology/PokerPlayer>,poker_player
<http://dbpedia.org/ontology/Saint>,saint
<http://dbpedia.org/ontology/Bird>,squirrel bird hippo wasp rabbit parrot other_bird seagull small_bird snake octopus
<http://dbpedia.org/ontology/VolleyballLeague>,
<http://dbpedia.org/ontology/Album>,album second_album entire_album whole_album opening_track other_album full_album first_track
<http://dbpedia.org/ontology/Play>,play other_plays plays actual_play other_play
<http://dbpedia.org/ontology/Food>,so_much_food other_food cheap_food most_food food _food own_food fresh_food cooked_food actual_food food-
<http://dbpedia.org/ontology/Model>,other_model models other_models model
<http://dbpedia.org/ontology/Hotel>,hotel hotels nice_hotel hotel_downtown fancy_hotel nearby_hotel hotel_room hostel local_hotel motel cheap_hotel
<http://dbpedia.org/ontology/Nerve>,nerve
<http://dbpedia.org/ontology/Sport>,soccer competitive_sport many_sports most_sports only_sport sports sport other_sport team_sports professional_sport other_sports
<http://dbpedia.org/ontology/Canal>,canal
<http://dbpedia.org/ontology/BasketballTeam>,rival_school college_team baseball_team state_championship football_team national_championship soccer_team high_school_team basketball_teams hockey_team basketball_team
<http://dbpedia.org/ontology/Film>,original_film film films screenplay great_film many_films whole_film movie actual_film good_film most_films
<http://dbpedia.org/ontology/Vein>,vein
<http://dbpedia.org/ontology/NascarDriver>,nascar_driver
<http://dbpedia.org/ontology/FigureSkater>,figure_skater
<http://dbpedia.org/ontology/IceHockeyLeague>,
<http://dbpedia.org/ontology/Non-ProfitOrganisation>,
<http://dbpedia.org/ontology/PlayboyPlaymate>,
<http://dbpedia.org/ontology/Road>,expressway country_road dirt_road same_road road interstate freeway highway gravel_road major_road back_road
<http://dbpedia.org/ontology/RadioStation>,radio radio_show local_radio_station local_radio radio_stations local_station local_radio_stations radio_station college_radio_station favorite_radio_station
<http://dbpedia.org/ontology/Philosopher>,theologian philosopher mathematician
<http://dbpedia.org/ontology/Fern>,fern
<http://dbpedia.org/ontology/Boxer>,kickboxer boxer
<http://dbpedia.org/ontology/WaterwayTunnel>,
<http://dbpedia.org/ontology/Fish>,catfish fish only_fish snails shrimp crayfish fish_food most_fish other_fish trout shrimps
<http://dbpedia.org/ontology/Band>,drummer bands frontman band vocalist first_band new_band metal_band bassist other_band guitarist
<http://dbpedia.org/ontology/Brain>,brains sensory_input entire_brain nervous_system frontal_lobe brain/body neural_pathways own_brain whole_brain brain frontal_cortex
<http://dbpedia.org/ontology/SpeedwayLeague>,
<http://dbpedia.org/ontology/PowerStation>,nuclear_power_plant nuclear_plant wind_turbine power_stations power_station
<http://dbpedia.org/ontology/Town>,small_town old_town few_towns little_town few_blocks city home_town a_few_miles town next_town neighboring_town
<http://dbpedia.org/ontology/SpeedwayTeam>,
<http://dbpedia.org/ontology/Park>,walking_trail small_park bike_trail park local_park hiking_trail walk camp_ground big_park campground nearby_park
<http://dbpedia.org/ontology/SpaceShuttle>,rocket_engines space_shuttles space_station low_earth_orbit spacecraft service_module space_craft spaceplane space_plane 747 space_shuttle
<http://dbpedia.org/ontology/FilmFestival>,local_theater film_festivals film_festival
<http://dbpedia.org/ontology/IceHockeyPlayer>,
<http://dbpedia.org/ontology/LunarCrater>,
<http://dbpedia.org/ontology/Broadcaster>,broadcast broadcasts broadcaster broadcasting broadcasters
<http://dbpedia.org/ontology/Organisation>,organisation organisations organization
<http://dbpedia.org/ontology/OfficeHolder>,
<http://dbpedia.org/ontology/ArchitecturalStructure>,
<http://dbpedia.org/ontology/HistoricPlace>,
<http://dbpedia.org/ontology/BodyOfWater>,
<http://dbpedia.org/ontology/RugbyLeague>,football/soccer american_football rugby_union rugby gridiron football rugby_league soccer
<http://dbpedia.org/ontology/TelevisionStation>,tv_station television_station
<http://dbpedia.org/ontology/BaseballPlayer>,hockey_player baseball baseball_player
<http://dbpedia.org/ontology/Infrastructure>,existing_infrastructure necessary_infrastructure transport_infrastructure infrastructure public_infrastructure infastructure local_infrastructure new_infrastructure transportation_infrastructure basic_infrastructure other_infrastructure
<http://dbpedia.org/ontology/TennisLeague>,
<http://dbpedia.org/ontology/ChemicalCompound>,chemical_structure other_chemicals trace_amounts benzene active_ingredient chemical_formula chemical chemicals chemical_compounds chemical_compound same_chemical
<http://dbpedia.org/ontology/BaseballLeague>,baseball_league
<http://dbpedia.org/ontology/GaelicGamesPlayer>,
<http://dbpedia.org/ontology/AmericanFootballTeam>,
<http://dbpedia.org/ontology/HistoricBuilding>,historic_building
<http://dbpedia.org/ontology/OlympicResult>,
