superpattern 	subpattern 	confidence
1354778	1275792	0.208
218984	823633	0.208
537865	257954	0.208
631939	1584032	0.15
27783	52396	0.0020
25185	48484	0.0
139042	103505	0.029
1468825	1391161	0.208
13471	12995	0.0
1217199	407076	0.15
1480486	154048	0.0050
66663	37228	0.085
610131	182430	0.208
90494	75195	0.057
640751	1387880	0.301
1319495	1211944	0.15
1107929	6653	0.208
1023	1079917	0.024
34412	210046	0.083
104103	1360910	0.0040
432572	1590	0.117
509559	259456	0.208
19534	1224570	0.0
987785	776650	0.096
476505	58301	0.409
1182	919456	0.0010
90565	1454830	0.047
904939	812658	0.15
986224	509370	0.117
156913	1082803	0.15
13012	829636	0.12
2468	205006	0.047
3086	77019	0.041
85551	16140	0.0050
664382	790065	0.208
1409788	335	0.096
394857	1110460	0.208
573776	1595846	0.301
6634	1217048	0.056
640988	1494818	0.15
801575	1173	0.117
300442	1588380	0.208
195149	1859	0.15
1197716	509369	0.208
2466	237958	0.047
25634	1051	0.059
7237	28337	0.0
18539	1414472	0.0070
162013	476671	0.25
193570	192431	0.083
58308	476506	0.173
1252018	582963	0.208
412199	56165	0.071
148419	95872	0.073
156532	982684	0.208
262490	665871	0.231
4820	69725	0.0010
671979	1197706	0.15
55396	59795	0.089
17859	1186081	0.0010
237910	423758	0.096
345816	1595431	0.016
1300802	320770	0.208
1092192	105479	0.208
1248105	1487443	0.071
390812	283883	0.021
1197352	920716	0.208
123493	2448	0.0080
16659	99926	0.0010
871930	1151602	0.208
1480488	1526770	0.0020
74785	661255	0.0030
424245	237912	0.168
1169885	4464	0.208
264384	986185	0.208
29943	8093	0.03
473445	59951	0.208
231672	1548781	0.15
4459	18540	0.0
220200	306853	0.047
31674	36554	0.012
1373030	21450	0.01
1309103	416265	0.15
193380	193526	0.208
769986	1110534	0.208
30135	1497	0.0040
37116	36542	0.011
161220	19211	0.188
40777	48601	0.012
608388	778575	0.117
1487341	1248144	0.208
1471722	1925	0.208
9580	9776	0.0
1114623	1255061	0.15
34517	513934	0.0040
407104	1046	0.15
789926	690108	0.15
309243	1044399	0.117
790085	736779	0.15
1004379	609663	0.208
459741	1494835	0.15
1069001	288041	0.208
84396	850909	0.015
570719	722290	0.208
55365	45	0.057
399240	1395107	0.15
424238	43240	0.168
1072410	4753	0.208
111941	113293	0.028
381394	724377	0.208
156758	1082858	0.15
4532	26539	0.018
1134725	1268580	0.208
45	1502780	0.0030
410113	882851	0.117
1497	810936	0.0
1527525	641122	0.117
128195	109054	0.098
66662	271772	0.03
664415	790029	0.208
207660	1611	0.117
58805	336	0.0040
51816	57332	0.0090
1504955	1422496	0.15
326035	27797	0.208
119764	863	0.03
34848	43256	0.03
1005568	489949	0.208
344192	662997	0.208
35555	1097940	0.042
1292208	1331703	0.15
17607	3727	0.032
193351	195364	0.15
1080083	1022	0.268
347230	665327	0.208
59564	1297001	0.063
349300	1233709	0.208
225501	1143298	0.096
800911	30296	0.0090
713686	85327	0.0080
459667	1130307	0.15
1194252	19497	0.04
40324	267	0.0030
262703	1294337	0.15
1294051	262678	0.208
1083011	982739	0.208
48831	757037	0.0080
75457	1670	0.0
409234	291805	0.021
283813	390851	0.096
97178	66919	0.096
1082978	791934	0.208
321482	1494671	0.027
847087	70601	0.017
791724	1607838	0.208
121160	15020	0.044
239163	412275	0.208
1359513	14953	0.208
3330	118458	0.047
1175146	1294050	0.083
920594	650946	0.208
575340	297510	0.15
1155045	432104	0.15
1494	783711	0.0
1212017	1319336	0.208
1094965	663	0.436
1172058	476509	0.208
1394978	1080179	0.15
1214549	540259	0.15
76291	56136	0.052
407165	459579	0.15
983440	1082956	0.208
3621	547082	0.0010
1122396	1328565	0.096
424855	288364	0.071
1577862	720061	0.208
